Club,Valeurs,draw,form,goalDifference,goalsAgainst,goalsFor,lost,playedGames,points,position,won
Bayern,944.7,6,"D,D,W,W,W",36,15,51,1,17,36,1,10
Union Berlin,115.9,3,"W,W,L,D,L",7,22,29,4,17,33,2,10
RB Leipzig,493.3,5,"W,D,W,W,W",14,23,37,3,17,32,3,9
Frankfurt,270.95,4,"D,W,D,W,W",11,25,36,4,17,31,4,9
Dortmund,526.7,1,"W,W,L,L,W",6,25,31,6,17,31,5,10
Freiburg,161.63,4,"D,L,W,L,W",2,24,26,4,17,31,6,9
Wolfsburg,193.2,5,"W,W,W,W,W",15,20,35,4,17,29,7,8
Leverkusen,416.85,3,"W,W,W,W,W",2,28,30,7,17,24,8,7
M'gladbach,233.25,4,"L,L,W,L,W",2,28,30,7,17,22,9,6
1. FC Köln,100.03,6,"D,W,L,L,L",-2,31,29,6,17,21,10,5
Bremen,73.55,3,"L,L,L,L,W",-9,36,27,8,17,21,11,6
Mainz,122.3,5,"L,D,D,L,L",-6,27,21,7,17,20,12,5
Hoffenheim,161.95,4,"D,L,L,L,L",-2,27,25,8,17,19,13,5
Augsburg,111.95,3,"W,L,L,D,L",-8,30,22,9,17,18,14,5
Stuttgart,124.85,7,"D,D,L,W,L",-9,30,21,7,17,16,15,3
Bochum,48.13,1,"L,W,W,W,L",-22,39,17,11,17,16,16,5
Hertha BSC,97.95,5,"L,L,W,L,L",-10,30,20,9,17,14,17,3
Schalke,,3,"L,L,L,W,L",-27,41,14,12,17,9,18,2
