Club,Valeurs,draw,form,goalDifference,goalsAgainst,goalsFor,lost,playedGames,points,position,won
Arsenal,797.0,2,"W,W,D,W,W",29,16,45,1,19,50,1,16
Man City,1000.12,3,"W,W,L,W,D",33,20,53,3,20,45,2,14
Newcastle,442.9,9,"D,W,D,D,W",22,11,33,1,20,39,3,10
Man United,742.1,3,"L,D,W,W,W",7,25,32,5,20,39,4,12
Tottenham,688.3,3,"W,L,L,W,L",9,31,40,7,21,36,5,11
Brighton Hove,304.6,4,"D,W,W,L,W",10,27,37,6,19,31,6,9
Fulham,240.0,4,"L,L,W,W,W",2,30,32,8,21,31,7,9
Brentford,317.1,9,"D,W,W,W,D",4,28,32,4,20,30,8,7
Liverpool,931.0,5,"D,L,L,W,W",9,25,34,6,19,29,9,8
Chelsea,1000.02,5,"D,W,L,L,D",1,21,22,7,20,29,10,8
Aston Villa,440.6,4,"W,W,D,W,L",-4,27,23,8,20,28,11,8
Crystal Palace,288.7,6,"D,D,L,L,W",-9,27,18,8,20,24,12,6
Nottingham,315.9,6,"D,W,W,D,L",-19,35,16,9,20,21,13,5
Leicester City,432.1,3,"D,L,L,L,L",-7,35,28,12,20,18,14,5
Leeds United,299.0,6,"D,L,D,D,L",-7,33,26,9,19,18,15,4
West Ham,474.0,3,"W,L,D,L,L",-8,25,17,12,20,18,16,5
Wolverhampton,389.7,5,"L,W,D,L,W",-18,30,12,11,20,17,17,4
Bournemouth,185.2,5,"D,L,L,L,L",-23,42,19,11,20,17,18,4
Everton,408.3,6,"L,L,L,D,L",-13,28,15,11,20,15,19,3
Southampton,351.5,3,"L,W,L,L,L",-18,35,17,13,20,15,20,4
