Club,Valeurs,draw,form,goalDifference,goalsAgainst,goalsFor,lost,playedGames,points,position,won
PSG,894.55,2,"L,W,L,W,W",34,14,48,2,19,47,1,15
RC Lens,158.95,5,"W,D,W,D,W",19,13,32,1,19,44,2,13
Marseille,230.0,3,"W,W,W,W,W",23,16,39,3,19,42,3,13
Monaco,302.9,4,"W,D,W,W,L",16,26,42,4,19,37,4,11
Stade Rennais,314.95,4,"W,L,W,L,W",16,20,36,4,19,37,5,11
Lille,188.7,4,"W,D,D,W,W",10,25,35,5,19,34,6,10
Lorient,74.1,5,"L,D,W,L,D",2,29,31,5,19,32,7,9
Clermont Foot,32.8,4,"W,W,W,L,L",-3,27,24,7,19,28,8,8
Olympique Lyon,254.5,4,"L,D,L,W,D",5,23,28,8,19,25,9,7
Nice,198.6,7,"D,W,L,D,D",2,20,22,6,19,25,10,6
Stade de Reims,88.05,10,"D,W,D,W,D",-2,23,21,4,19,25,11,5
Toulouse,65.25,5,"D,W,W,L,L",-5,34,29,8,19,23,12,6
Nantes,106.85,9,"W,D,W,D,D",-3,24,21,6,19,21,13,4
Troyes,68.6,6,"L,L,W,D,L",-10,40,30,9,19,18,14,4
Montpellier,104.9,2,"L,L,L,W,D",-12,40,28,12,19,17,15,5
Strasbourg,92.6,9,"W,D,L,L,D",-10,34,24,8,19,15,16,2
Brest,65.8,6,"D,D,L,L,W",-15,34,19,10,19,15,17,3
AC Ajaccio,24.65,3,"L,L,L,W,D",-18,34,16,12,19,15,18,4
Auxerre,42.5,4,"L,L,L,L,L",-25,41,16,12,19,13,19,3
Angers SCO,75.5,2,"L,L,L,L,L",-24,41,17,15,19,8,20,2
