,Club,Valeurs,draw,form,goalDifference,goalsAgainst,goalsFor,lost,playedGames,points,position,won
0,Napoli,538.8,2,"W,W,W,L,W",32,14,46,1,19,50,1,16
1,Juventus,465.8,5,"D,L,W,W,W",15,15,30,3,19,38,2,11
2,Milan,574.4,5,"L,D,D,W,W",11,24,35,3,19,38,3,11
3,Lazio,254.65,4,"W,W,D,L,L",20,15,35,4,19,37,4,11
4,Inter,556.45,1,"L,W,D,W,W",13,25,38,6,19,37,5,12
5,Roma,368.75,4,"W,W,D,W,D",9,16,25,4,19,37,6,11
6,Atalanta,309.2,5,"D,W,W,D,L",14,23,37,4,19,35,7,10
7,Udinese,137.25,7,"W,L,L,D,L",6,21,27,5,19,28,8,7
8,Torino,149.18,5,"W,L,D,D,D",-1,20,19,7,19,26,9,7
9,Empoli,92.0,7,"W,W,D,D,W",-5,22,17,6,19,25,10,6
10,Fiorentina,232.45,5,"L,L,W,D,L",-4,25,21,8,19,23,11,6
11,Bologna,126.6,5,"D,W,L,L,W",-6,30,24,8,19,23,12,6
12,Monza,114.9,4,"D,W,D,D,W",-5,28,23,9,19,22,13,6
13,Lecce,71.08,8,"L,D,D,W,W",-4,22,18,7,19,20,14,4
14,Spezia Calcio,75.2,6,"L,W,D,D,W",-13,30,17,9,19,18,15,4
15,Salernitana,100.9,6,"L,L,D,L,L",-14,37,23,9,19,18,16,4
16,Sassuolo,203.6,5,"D,L,L,L,L",-11,29,18,10,19,17,17,4
17,Verona,92.95,3,"W,L,W,D,L",-14,31,17,13,19,12,18,3
18,Sampdoria,65.13,3,"L,L,L,W,L",-24,32,8,14,19,9,19,2
19,Cremonese,67.85,8,"D,L,L,L,L",-19,33,14,11,19,8,20,0
