Club,Valeurs,draw,form,goalDifference,goalsAgainst,goalsFor,lost,playedGames,points,position,won
SL Benfica,343.7,2,"W,D,W,L,W",31,12,43,1,17,44,1,14
Braga,125.1,1,"W,W,W,W,W",26,13,39,3,17,40,2,13
Porto,264.8,3,"W,W,D,W,W",30,11,41,2,17,39,3,12
Sporting CP,241.7,2,"W,D,L,W,W",14,19,33,5,17,32,4,10
Casa Pia,15.95,3,"L,L,D,W,L",0,16,16,6,17,27,5,8
Arouca,13.4,5,"W,D,W,L,L",-3,25,22,5,17,26,6,7
Vitória SC,37.05,3,"L,L,D,L,W",-4,19,15,7,17,24,7,7
Chaves,11.78,7,"D,D,D,L,W",-5,21,16,5,17,22,8,5
Vizela,13.7,3,"L,W,L,W,W",2,17,19,8,17,21,9,6
Rio Ave,13.53,6,"D,L,D,D,W",-3,20,17,6,17,21,10,5
Boavista,20.15,3,"D,L,W,L,L",-9,25,16,7,16,21,11,6
Portimonense,15.45,2,"L,D,L,L,L",-8,21,13,9,17,20,12,6
Estoril Praia,23.5,4,"L,W,L,L,L",-5,21,16,7,16,19,13,5
Gil Vicente,24.9,3,"W,W,L,W,L",-7,24,17,9,17,18,14,5
Famalicão,37.7,3,"D,L,W,W,L",-7,23,16,9,17,18,15,5
Santa Clara,25.95,5,"L,D,L,L,W",-10,21,11,9,17,14,16,3
Marítimo,16.55,4,"W,L,W,D,L",-20,31,11,10,17,13,17,3
Paços Ferreira,16.38,3,"L,W,D,L,L",-22,32,10,13,17,6,18,1
